"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1189, FN=0, Flags=.p....F.C"
"3","0.006013265","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1190, FN=0, Flags=.p....F.C"
"4","0.006991039","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1191, FN=0, Flags=.p....F.C"
"6","0.007936179","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1192, FN=0, Flags=.p....F.C"
"9","0.016526192","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1193, FN=0, Flags=.p....F.C"
"11","0.018235097","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1194, FN=0, Flags=.p....F.C"
"12","0.019187072","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1195, FN=0, Flags=.p....F.C"
"14","0.020134257","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1196, FN=0, Flags=.p....F.C"
"15","0.022113497","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1197, FN=0, Flags=.p....F.C"
"16","0.022592842","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1197, FN=0, Flags=.p..R.F.C"
"17","0.023361713","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=1197, FN=0, Flags=.p..R.F.C"
"21","0.024942898","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=1198, FN=0, Flags=.p....F.C"
"22","0.025278748","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-49dBm","QoS Data, SN=1199, FN=0, Flags=.p....F.C"
"24","0.028126394","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1088","-48dBm","QoS Data, SN=1200, FN=0, Flags=.p....F.C"
"27","0.035863936","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1201, FN=0, Flags=.p....F.C"
"32","0.043198219","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1202, FN=0, Flags=.p....F.C"
"34","0.046573638","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","741","-48dBm","QoS Data, SN=1203, FN=0, Flags=.p....F.C"
"37","0.052019218","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1204, FN=0, Flags=.p....F.C"
"39","0.061452990","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1205, FN=0, Flags=.p....F.C"
"42","0.072072255","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1206, FN=0, Flags=.p....F.C"
"44","0.076631806","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","720","-48dBm","QoS Data, SN=1207, FN=0, Flags=.p....F.C"
"45","0.077010610","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","720","-48dBm","QoS Data, SN=1207, FN=0, Flags=.p..R.F.C"
"46","0.077621026","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","701","-48dBm","QoS Data, SN=1208, FN=0, Flags=.p....F.C"
"49","0.079940379","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1209, FN=0, Flags=.p....F.C"
"50","0.082181528","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1210, FN=0, Flags=.p....F.C"
"51","0.083188428","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1211, FN=0, Flags=.p....F.C"
"52","0.083756376","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1212, FN=0, Flags=.p....F.C"
"55","0.088195125","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-48dBm","QoS Data, SN=1213, FN=0, Flags=.p....F.C"
"56","0.088334417","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-48dBm","QoS Data, SN=1214, FN=0, Flags=.p....F.C"
