"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-50dBm","QoS Data, SN=1690, FN=0, Flags=.p....F.C"
"3","0.000579167","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-53dBm","QoS Data, SN=1692, FN=0, Flags=.p....F.C"
"7","0.002740530","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1694, FN=0, Flags=.p....F.C"
"9","0.003336096","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1694, FN=0, Flags=.p..R.F.C"
"10","0.003893267","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1694, FN=0, Flags=.p..R.F.C"
"12","0.005527673","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-51dBm","QoS Data, SN=1696, FN=0, Flags=.p....F.C"
"13","0.005840274","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1697, FN=0, Flags=.p....F.C"
"14","0.006363500","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1697, FN=0, Flags=.p..R.F.C"
"16","0.006945530","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1697, FN=0, Flags=.p..R.F.C"
"17","0.007696748","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-49dBm","QoS Data, SN=1697, FN=0, Flags=.p..R.F.C"
"18","0.008328350","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1699, FN=0, Flags=.p....F.C"
"20","0.008941995","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1699, FN=0, Flags=.p..R.F.C"
"22","0.009797650","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1701, FN=0, Flags=.p....F.C"
"24","0.010373545","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1702, FN=0, Flags=.p..R.F.C"
"25","0.010938607","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1702, FN=0, Flags=.p..R.F.C"
"26","0.011422061","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","QoS Data, SN=1702, FN=0, Flags=.p..R.F.C"
"28","0.012277922","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-49dBm","QoS Data, SN=1702, FN=0, Flags=.p..R.F.C"
"31","0.013788422","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","QoS Data, SN=1704, FN=0, Flags=.p....F.C"
