"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-52dBm","QoS Data, SN=3558, FN=0, Flags=.p....F.C"
"2","0.000354914","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-53dBm","QoS Data, SN=3559, FN=0, Flags=.p....F.C"
"3","0.000470459","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=3560, FN=0, Flags=.p....F.C"
"4","0.000779319","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-51dBm","QoS Data, SN=3560, FN=0, Flags=.p..R.F.C"
"5","0.001105057","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-53dBm","QoS Data, SN=3561, FN=0, Flags=.p....F.C"
"6","0.001422159","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1535","-50dBm","QoS Data, SN=3562, FN=0, Flags=.p....F.C"
"11","0.062654114","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","193","-52dBm","QoS Data, SN=3563, FN=0, Flags=.p....F.C"
"12","0.063416435","e8:48:b8:da:df:46","Broadcast","802.11","452","-48dBm","Beacon frame, SN=3575, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.067575421","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-52dBm","QoS Data, SN=3564, FN=0, Flags=.p....F.C"
"16","0.067963594","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=3564, FN=0, Flags=.p..R.F.C"
"17","0.069080824","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-53dBm","QoS Data, SN=3564, FN=0, Flags=.p..R.F.C"
"19","0.073316970","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-50dBm","QoS Data, SN=3565, FN=0, Flags=.p....F.C"
"20","0.073693413","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-53dBm","QoS Data, SN=3565, FN=0, Flags=.p..R.F.C"
"22","0.095258880","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=3566, FN=0, Flags=.p....F.C"
"23","0.097809042","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=3567, FN=0, Flags=.p....F.C"
"24","0.131809658","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-50dBm","QoS Data, SN=3568, FN=0, Flags=.p....F.C"
