"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"4","0.037342687","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1213, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"8","0.139745661","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1215, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"12","0.242177044","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1217, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"16","0.344552164","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1219, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"21","0.446964649","e8:48:b8:da:df:46","Broadcast","802.11","453","-58dBm","5785MHz","6","Beacon frame, SN=1221, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"26","0.549378672","e8:48:b8:da:df:46","Broadcast","802.11","453","-58dBm","5785MHz","6","Beacon frame, SN=1223, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","0.651791597","e8:48:b8:da:df:46","Broadcast","802.11","453","-57dBm","5785MHz","6","Beacon frame, SN=1225, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"36","0.754193926","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1227, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"40","0.856573310","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1229, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"47","0.958992437","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1231, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"52","1.061384565","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1233, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"56","1.163802428","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1235, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"60","1.266175731","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1237, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"67","1.368621414","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1239, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"71","1.471003396","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1241, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"75","1.573407688","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1243, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"79","1.675802204","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1245, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
