"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","57.7778","QoS Data, SN=1219, FN=0, Flags=.p....F.C"
"2","0.000001903","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","57.7778","QoS Data, SN=1220, FN=0, Flags=.p....F.C"
"3","0.000504066","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","57.7778","QoS Data, SN=1219, FN=0, Flags=.p..R.F.C"
"4","0.000505965","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","57.7778","QoS Data, SN=1220, FN=0, Flags=.p..R.F.C"
"5","0.001124068","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","57.7778","QoS Data, SN=1219, FN=0, Flags=.p..R.F.C"
"6","0.001124908","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","57.7778","QoS Data, SN=1220, FN=0, Flags=.p..R.F.C"
"7","0.001896340","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","5785MHz","28.8889","QoS Data, SN=1219, FN=0, Flags=.p..R.F.C"
"9","0.002876064","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","5785MHz","21.6667","QoS Data, SN=1219, FN=0, Flags=.p..R.F.C"
"11","0.003468191","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","57.7778","QoS Data, SN=1221, FN=0, Flags=.p....F.C"
"12","0.003469777","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","57.7778","QoS Data, SN=1222, FN=0, Flags=.p....F.C"
"15","0.004262338","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","57.7778","QoS Data, SN=1221, FN=0, Flags=.p..R.F.C"
"16","0.004263631","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","57.7778","QoS Data, SN=1222, FN=0, Flags=.p..R.F.C"
"19","0.005044706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","57.7778","QoS Data, SN=1221, FN=0, Flags=.p..R.F.C"
"20","0.005045641","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","57.7778","QoS Data, SN=1222, FN=0, Flags=.p..R.F.C"
"29","0.007901106","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","57.7778","QoS Data, SN=1225, FN=0, Flags=.p....F.C"
"30","0.007902520","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","57.7778","QoS Data, SN=1226, FN=0, Flags=.p....F.C"
"31","0.008492348","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","57.7778","QoS Data, SN=1227, FN=0, Flags=.p....F.C"
