"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"4","0.001044623","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=789, FN=0, Flags=.p....F.C"
"6","0.002767085","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=790, FN=0, Flags=.p....F.C"
"7","0.002767781","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=791, FN=0, Flags=.p....F.C"
"15","0.005568434","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=792, FN=0, Flags=.p....F.C"
"16","0.005569248","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=793, FN=0, Flags=.p....F.C"
"17","0.005950261","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","159","-60dBm","5785MHz","43.3333","QoS Data, SN=794, FN=0, Flags=.p....F.C"
"22","0.008951742","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=795, FN=0, Flags=.p....F.C"
"27","0.011937449","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=797, FN=0, Flags=.p....F.C"
"29","0.013031308","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=799, FN=0, Flags=.p....F.C"
"31","0.014025911","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=800, FN=0, Flags=.p....F.C"
"36","0.016329330","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=800, FN=0, Flags=.p..R.F.C"
"39","0.017755969","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","43.3333","QoS Data, SN=800, FN=0, Flags=.p..R.F.C"
"41","0.019302634","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","21.6667","QoS Data, SN=800, FN=0, Flags=.p..R.F.C"
"43","0.020222405","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=802, FN=0, Flags=.p....F.C"
"51","0.020724398","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=802, FN=0, Flags=.p..R.F.C"
"59","0.021102616","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-60dBm","5785MHz","43.3333","QoS Data, SN=802, FN=0, Flags=.p..R.F.C"
"67","0.022335035","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=810, FN=0, Flags=.p....F.C"
"68","0.022335837","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=811, FN=0, Flags=.p....F.C"
"69","0.022619855","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=810, FN=0, Flags=.p..R.F.C"
"70","0.022620592","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=811, FN=0, Flags=.p..R.F.C"
"71","0.022957042","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=810, FN=0, Flags=.p..R.F.C"
"72","0.022957839","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","43.3333","QoS Data, SN=811, FN=0, Flags=.p..R.F.C"
"73","0.023360100","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","5785MHz","21.6667","QoS Data, SN=810, FN=0, Flags=.p..R.F.C"
"75","0.023887725","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-59dBm","5785MHz","43.3333","QoS Data, SN=812, FN=0, Flags=.p....F.C"
