"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2646, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"5","0.049707727","e8:48:b8:da:df:46","Dyson_76:e4:be","802.11","556","-57dBm","5785MHz","6","Probe Response, SN=2648, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"6","0.050588146","e8:48:b8:da:df:46","Dyson_76:e4:be","802.11","556","-57dBm","5785MHz","6","Probe Response, SN=2648, FN=0, Flags=....R...C, BI=100, SSID=Olufsen60"
"7","0.102412774","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2649, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"9","0.204813809","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2651, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"11","0.307212897","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2653, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"13","0.409618621","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2655, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.512012774","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2657, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"17","0.614426151","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2659, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"28","0.716830012","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2670, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","0.718129779","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","492","-56dBm","5785MHz","6","Data, SN=2672, FN=0, Flags=.pm...F.C"
"31","0.718876894","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","501","-56dBm","5785MHz","6","Data, SN=2673, FN=0, Flags=.pm...F.C"
"32","0.719693151","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","564","-56dBm","5785MHz","6","Data, SN=2674, FN=0, Flags=.pm...F.C"
"33","0.720498323","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","560","-55dBm","5785MHz","6","Data, SN=2675, FN=0, Flags=.pm...F.C"
"34","0.721292181","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","540","-55dBm","5785MHz","6","Data, SN=2676, FN=0, Flags=.pm...F.C"
"35","0.722126521","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","572","-55dBm","5785MHz","6","Data, SN=2677, FN=0, Flags=.pm...F.C"
"36","0.722927787","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","554","-55dBm","5785MHz","6","Data, SN=2678, FN=0, Flags=.pm...F.C"
"37","0.723716468","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","556","-55dBm","5785MHz","6","Data, SN=2679, FN=0, Flags=.pm...F.C"
"38","0.724869560","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","556","-56dBm","5785MHz","6","Data, SN=2680, FN=0, Flags=.pm...F.C"
"39","0.725607731","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","500","-56dBm","5785MHz","6","Data, SN=2681, FN=0, Flags=.pm...F.C"
"40","0.726354370","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","509","-56dBm","5785MHz","6","Data, SN=2682, FN=0, Flags=.pm...F.C"
"41","0.727187220","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","572","-57dBm","5785MHz","6","Data, SN=2683, FN=0, Flags=.pm...F.C"
"42","0.728015726","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","568","-57dBm","5785MHz","6","Data, SN=2684, FN=0, Flags=.pm...F.C"
"43","0.728797194","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","548","-56dBm","5785MHz","6","Data, SN=2685, FN=0, Flags=.pm...F.C"
"44","0.729665649","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","580","-57dBm","5785MHz","6","Data, SN=2686, FN=0, Flags=.pm...F.C"
"45","0.730472103","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","562","-57dBm","5785MHz","6","Data, SN=2687, FN=0, Flags=.pm...F.C"
"46","0.731292531","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","564","-57dBm","5785MHz","6","Data, SN=2688, FN=0, Flags=.pm...F.C"
"47","0.732083997","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","564","-57dBm","5785MHz","6","Data, SN=2689, FN=0, Flags=.p....F.C"
"48","0.819211409","e8:48:b8:da:df:46","Broadcast","802.11","453","-56dBm","5785MHz","6","Beacon frame, SN=2690, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"51","0.921606491","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2692, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"53","0.922536182","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-55dBm","5785MHz","6","Data, SN=2694, FN=0, Flags=.p....F.C"
"54","1.024038610","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2695, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"57","1.126418719","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2697, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"60","1.228841576","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2699, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"62","1.331208336","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2701, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"65","1.433643394","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2703, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"67","1.434577947","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-55dBm","5785MHz","6","Data, SN=2705, FN=0, Flags=.p....F.C"
"68","1.536032286","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2706, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"70","1.639137814","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2708, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"73","1.740828861","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2710, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"75","1.843222335","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2712, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"78","1.945656066","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2714, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"80","1.946602983","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-54dBm","5785MHz","6","Data, SN=2716, FN=0, Flags=.p....F.C"
"81","2.048024964","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2717, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"84","2.150472047","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2719, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"86","2.252844858","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2721, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"88","2.355230460","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2723, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"90","2.457648447","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2725, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"92","2.560067242","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2727, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"94","2.662462390","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2729, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"96","2.764855561","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2731, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"98","2.867293164","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2733, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"100","2.969685012","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2735, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"102","3.072063887","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2737, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"104","3.174498209","e8:48:b8:da:df:46","Broadcast","802.11","453","-57dBm","5785MHz","6","Beacon frame, SN=2739, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"107","3.276884899","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2741, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"109","3.379302317","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2743, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"112","3.481690338","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2745, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"114","3.584145551","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2747, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"116","3.686710707","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2749, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"118","3.788956356","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2751, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"122","3.891305369","e8:48:b8:da:df:46","Broadcast","802.11","453","-56dBm","5785MHz","6","Beacon frame, SN=2753, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"126","3.993687820","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2755, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"128","4.096109600","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2757, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"131","4.198498011","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2759, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"135","4.300914368","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=2761, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"137","4.403301447","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2763, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"139","4.505708083","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2765, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"141","4.608115346","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2767, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"143","4.710512934","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2769, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"145","4.812939608","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2771, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"150","4.915365487","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=2773, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
