"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","5785MHz","28.8889","QoS Data, SN=2043, FN=0, Flags=.p....F.C"
"3","0.001182729","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-59dBm","5785MHz","28.8889","QoS Data, SN=2045, FN=0, Flags=.p....F.C"
"7","0.003341729","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2048, FN=0, Flags=.p....F.C"
"9","0.004100451","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-58dBm","5785MHz","28.8889","QoS Data, SN=2050, FN=0, Flags=.p....F.C"
"11","0.005862705","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2051, FN=0, Flags=.p....F.C"
"16","0.007651265","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-58dBm","5785MHz","28.8889","QoS Data, SN=2053, FN=0, Flags=.p....F.C"
"18","0.011156380","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2054, FN=0, Flags=.p....F.C"
"20","0.014197237","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-57dBm","5785MHz","28.8889","QoS Data, SN=2056, FN=0, Flags=.p....F.C"
"23","0.016747584","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2058, FN=0, Flags=.p....F.C"
"24","0.017622717","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2058, FN=0, Flags=.p..R.F.C"
"25","0.017624050","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-58dBm","5785MHz","28.8889","QoS Data, SN=2059, FN=0, Flags=.p....F.C"
"26","0.018464627","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-59dBm","5785MHz","28.8889","QoS Data, SN=2058, FN=0, Flags=.p..R.F.C"
"27","0.018465985","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-59dBm","5785MHz","28.8889","QoS Data, SN=2059, FN=0, Flags=.p..R.F.C"
"28","0.019701430","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=2060, FN=0, Flags=.p....F.C"
"30","0.024647535","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-58dBm","5785MHz","28.8889","QoS Data, SN=2061, FN=0, Flags=.p....F.C"
