"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"2","0.004666522","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=3601, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"5","0.107085854","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=3604, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"8","0.209473792","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3606, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"10","0.311855602","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3608, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"12","0.414254193","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3610, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.516661938","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=3612, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"18","0.619056528","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=3615, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"21","0.724376787","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3617, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"23","0.823851714","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3619, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"25","0.926252245","e8:48:b8:da:df:46","Broadcast","802.11","453","-59dBm","5785MHz","6","Beacon frame, SN=3621, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"28","1.028721959","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3623, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"31","1.131053248","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3625, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"33","1.233436181","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3627, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"35","1.335882556","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3629, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"38","1.438274081","e8:48:b8:da:df:46","Broadcast","802.11","453","-59dBm","5785MHz","6","Beacon frame, SN=3631, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"41","1.540649853","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3633, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"44","1.643057134","e8:48:b8:da:df:46","Broadcast","802.11","453","-59dBm","5785MHz","6","Beacon frame, SN=3635, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"47","1.745462213","e8:48:b8:da:df:46","Broadcast","802.11","453","-59dBm","5785MHz","6","Beacon frame, SN=3637, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"52","1.847862639","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3639, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"56","1.950249725","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3641, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"58","2.052668035","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=3643, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
