"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"9","0.004877776","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","5785MHz","43.3333","QoS Data, SN=3091, FN=0, Flags=.p..R.F.C"
"17","0.007241978","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3099, FN=0, Flags=.p....F.C"
"25","0.009328987","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3107, FN=0, Flags=.p....F.C"
"27","0.010188417","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3109, FN=0, Flags=.p....F.C"
"35","0.012837497","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3117, FN=0, Flags=.p....F.C"
"43","0.015721548","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3124, FN=0, Flags=.p..R.F.C"
"51","0.018093619","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3132, FN=0, Flags=.p....F.C"
"59","0.020460472","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3140, FN=0, Flags=.p....F.C"
"67","0.023119243","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","43.3333","QoS Data, SN=3145, FN=0, Flags=.p..R.F.C"
"75","0.025789800","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-55dBm","5785MHz","43.3333","QoS Data, SN=3153, FN=0, Flags=.p....F.C"
"79","0.027345994","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3153, FN=0, Flags=.p..R.F.C"
"83","0.028856342","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3157, FN=0, Flags=.p....F.C"
"91","0.031215639","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3165, FN=0, Flags=.p....F.C"
"99","0.033564063","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3173, FN=0, Flags=.p....F.C"
"107","0.036261823","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3181, FN=0, Flags=.p....F.C"
"115","0.039101706","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3181, FN=0, Flags=.p..R.F.C"
"123","0.041443197","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3189, FN=0, Flags=.p....F.C"
"131","0.043535135","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3196, FN=0, Flags=.p..R.F.C"
"139","0.046233494","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3204, FN=0, Flags=.p....F.C"
"147","0.048632002","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3211, FN=0, Flags=.p..R.F.C"
"148","0.048634116","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3212, FN=0, Flags=.p....F.C"
"149","0.049318200","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3213, FN=0, Flags=.p....F.C"
"155","0.051544106","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3213, FN=0, Flags=.p..R.F.C"
"161","0.053564786","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3217, FN=0, Flags=.p..R.F.C"
"176","0.062484168","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","5785MHz","43.3333","QoS Data, SN=3219, FN=0, Flags=.p....F.C"
"184","0.065137761","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3227, FN=0, Flags=.p....F.C"
"192","0.068253767","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3227, FN=0, Flags=.p..R.F.C"
"200","0.070908519","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-53dBm","5785MHz","43.3333","QoS Data, SN=3235, FN=0, Flags=.p....F.C"
"208","0.073345299","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-54dBm","5785MHz","43.3333","QoS Data, SN=3243, FN=0, Flags=.p....F.C"
