"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:46","Broadcast","802.11","452","-59dBm","5785MHz","6","Beacon frame, SN=1479, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"3","0.102341422","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1481, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"5","0.204746018","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1483, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"7","0.307159764","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1485, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"9","0.409574254","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1487, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"11","0.511943512","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1489, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"13","0.614398078","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1491, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.716822495","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1493, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"17","0.819191267","e8:48:b8:da:df:46","Broadcast","802.11","452","-58dBm","5785MHz","6","Beacon frame, SN=1495, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"20","0.921568781","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1497, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"22","1.023994409","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1499, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"24","1.126421045","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1501, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"26","1.228807192","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1503, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"28","1.331182012","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1505, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","1.433627281","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1507, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"32","1.536114794","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1509, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"34","1.638394710","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1511, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"36","1.741040616","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1513, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"38","1.843299253","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1515, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"40","1.945840688","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1517, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"42","2.048042147","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1519, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"44","2.150465173","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1521, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"46","2.252839859","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1523, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"48","2.355342313","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1525, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"50","2.457659448","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1527, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"52","2.560051165","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1529, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"54","2.662460823","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1531, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"56","2.764883566","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1533, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"58","2.867232177","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1535, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"60","2.969659693","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1537, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"62","3.072073339","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1539, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"64","3.174468486","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1541, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"66","3.276866115","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1543, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"68","3.379259701","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1545, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"70","3.481709376","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1547, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"72","3.584079983","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1549, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"74","3.686509716","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1551, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"76","3.788901376","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1553, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"78","3.891270655","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1555, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"80","3.993706219","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1557, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"82","4.096104120","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1559, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"84","4.198822390","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1561, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"86","4.300918220","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1563, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"88","4.403331282","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1565, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"90","4.505744992","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1567, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"92","4.608164499","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1569, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"94","4.710560188","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1571, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"98","4.812959827","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=1573, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"100","4.915330832","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1575, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"102","5.017764904","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1577, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"104","5.120176108","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1579, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"106","5.222557812","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1581, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"108","5.324954733","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1583, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"110","5.427417523","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=1585, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
