"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info"
"1","0.000000000","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","Beacon frame, SN=1928, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"5","0.049271690","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=1829, FN=0, Flags=.p....F.C"
"9","0.057313881","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=1830, FN=0, Flags=.p....F.C"
"10","0.057447474","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=1831, FN=0, Flags=.p....F.C"
"15","0.070791008","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=1832, FN=0, Flags=.p....F.C"
"16","0.070792763","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-62dBm","QoS Data, SN=1833, FN=0, Flags=.p....F.C"
"26","0.076278778","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","197","-62dBm","QoS Data, SN=1834, FN=0, Flags=.p....F.C"
"28","0.082010884","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","QoS Data, SN=1835, FN=0, Flags=.p....F.C"
"30","0.084729269","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-62dBm","QoS Data, SN=1836, FN=0, Flags=.p....F.C"
"32","0.085603854","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-61dBm","QoS Data, SN=1838, FN=0, Flags=.p....F.C"
"36","0.086664859","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-62dBm","QoS Data, SN=1839, FN=0, Flags=.p..R.F.C"
"37","0.087198542","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-62dBm","QoS Data, SN=1839, FN=0, Flags=.p..R.F.C"
"38","0.087840781","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-62dBm","QoS Data, SN=1839, FN=0, Flags=.p..R.F.C"
