"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=233, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"3","0.102351174","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=235, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"5","0.204750731","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=237, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"7","0.307152693","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=239, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"9","0.409571342","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=241, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"11","0.511959025","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=243, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"13","0.614363869","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=245, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"15","0.716858127","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=247, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"17","0.819197694","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=249, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"20","0.921577151","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=251, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"22","1.023996379","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=253, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"24","1.126394089","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=255, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"26","1.228782693","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=257, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"28","1.331194548","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=259, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"30","1.433573593","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=261, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"33","1.536001278","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=263, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"44","1.638406143","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=274, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"46","1.639674235","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","492","-56dBm","5785MHz","6","Data, SN=276, FN=0, Flags=.pm...F.C"
"47","1.640376550","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","501","-55dBm","5785MHz","6","Data, SN=277, FN=0, Flags=.pm...F.C"
"48","1.641197761","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","564","-56dBm","5785MHz","6","Data, SN=278, FN=0, Flags=.pm...F.C"
"49","1.641992027","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","560","-56dBm","5785MHz","6","Data, SN=279, FN=0, Flags=.pm...F.C"
"50","1.642762951","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","540","-56dBm","5785MHz","6","Data, SN=280, FN=0, Flags=.pm...F.C"
"51","1.643580367","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","572","-56dBm","5785MHz","6","Data, SN=281, FN=0, Flags=.pm...F.C"
"52","1.644360243","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","554","-56dBm","5785MHz","6","Data, SN=282, FN=0, Flags=.pm...F.C"
"53","1.645153750","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","556","-56dBm","5785MHz","6","Data, SN=283, FN=0, Flags=.pm...F.C"
"54","1.645950776","e8:48:b8:da:df:48","IPv4mcast_7f:ff:fa","802.11","556","-56dBm","5785MHz","6","Data, SN=284, FN=0, Flags=.pm...F.C"
"55","1.646659053","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","500","-57dBm","5785MHz","6","Data, SN=285, FN=0, Flags=.pm...F.C"
"56","1.647385892","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","509","-57dBm","5785MHz","6","Data, SN=286, FN=0, Flags=.pm...F.C"
"57","1.648201589","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","572","-57dBm","5785MHz","6","Data, SN=287, FN=0, Flags=.pm...F.C"
"58","1.649008938","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","568","-57dBm","5785MHz","6","Data, SN=288, FN=0, Flags=.pm...F.C"
"59","1.649762683","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","548","-57dBm","5785MHz","6","Data, SN=289, FN=0, Flags=.pm...F.C"
"60","1.650611948","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","580","-57dBm","5785MHz","6","Data, SN=290, FN=0, Flags=.pm...F.C"
"61","1.651415840","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","562","-57dBm","5785MHz","6","Data, SN=291, FN=0, Flags=.pm...F.C"
"62","1.652210472","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","564","-57dBm","5785MHz","6","Data, SN=292, FN=0, Flags=.pm...F.C"
"63","1.653012711","e8:48:b8:da:df:48","IPv6mcast_0c","802.11","564","-57dBm","5785MHz","6","Data, SN=293, FN=0, Flags=.p....F.C"
"64","1.740867710","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=294, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"67","1.843230466","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=296, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"70","1.945608705","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=298, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"72","2.048011681","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=300, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"75","2.150446481","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=302, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"77","2.151356574","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-56dBm","5785MHz","6","Data, SN=304, FN=0, Flags=.p....F.C"
"78","2.252827049","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=305, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"81","2.355239555","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=307, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"83","2.457635760","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=309, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"85","2.560037314","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=311, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"88","2.662437528","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=313, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"90","2.663370459","Bose_f6:fa:af","IPv4mcast_7f:ff:fa","802.11","261","-57dBm","5785MHz","6","Data, SN=315, FN=0, Flags=.p....F.C"
"91","2.764955436","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=316, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"94","2.867231677","e8:48:b8:da:df:46","Broadcast","802.11","452","-56dBm","5785MHz","6","Beacon frame, SN=318, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"96","2.969658189","e8:48:b8:da:df:46","Broadcast","802.11","452","-57dBm","5785MHz","6","Beacon frame, SN=320, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
