"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"7","0.001333049","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","5785MHz","43.3333","QoS Data, SN=3663, FN=0, Flags=.p....F.C"
"32","0.009097984","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","5785MHz","43.3333","QoS Data, SN=3663, FN=0, Flags=.p..R.F.C"
"40","0.011487675","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","5785MHz","43.3333","QoS Data, SN=3671, FN=0, Flags=.p....F.C"
"41","0.011488422","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-54dBm","5785MHz","43.3333","QoS Data, SN=3672, FN=0, Flags=.p....F.C"
"42","0.011783897","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-55dBm","5785MHz","43.3333","QoS Data, SN=3671, FN=0, Flags=.p..R.F.C"
"43","0.011784758","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-55dBm","5785MHz","43.3333","QoS Data, SN=3672, FN=0, Flags=.p..R.F.C"
"44","0.012055089","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3673, FN=0, Flags=.p....F.C"
"52","0.013477733","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3673, FN=0, Flags=.p..R.F.C"
"60","0.014800724","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3673, FN=0, Flags=.p..R.F.C"
"68","0.016302385","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","5785MHz","43.3333","QoS Data, SN=3681, FN=0, Flags=.p....F.C"
"76","0.018930153","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1583","-54dBm","5785MHz","43.3333","QoS Data, SN=3681, FN=0, Flags=.p..R.F.C"
"84","0.021019288","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","147","-54dBm","5785MHz","43.3333","QoS Data, SN=3689, FN=0, Flags=.p....F.C"
"85","0.021020215","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3690, FN=0, Flags=.p....F.C"
"92","0.021337479","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3697, FN=0, Flags=.p....F.C"
"107","0.024034674","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3697, FN=0, Flags=.p..R.F.C"
"124","0.027611315","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-54dBm","5785MHz","43.3333","QoS Data, SN=3705, FN=0, Flags=.p....F.C"
"125","0.027612255","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3706, FN=0, Flags=.p....F.C"
"126","0.027883552","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-55dBm","5785MHz","43.3333","QoS Data, SN=3707, FN=0, Flags=.p....F.C"
"134","0.030595905","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3708, FN=0, Flags=.p....F.C"
"135","0.030596683","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3709, FN=0, Flags=.p....F.C"
"143","0.032697711","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3710, FN=0, Flags=.p....F.C"
"146","0.033067163","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3713, FN=0, Flags=.p....F.C"
"160","0.035223275","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3719, FN=0, Flags=.p....F.C"
"161","0.035224156","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3720, FN=0, Flags=.p....F.C"
"162","0.035640842","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3721, FN=0, Flags=.p....F.C"
"177","0.039229080","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3725, FN=0, Flags=.p....F.C"
"178","0.039230022","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3726, FN=0, Flags=.p....F.C"
"214","0.047365037","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3727, FN=0, Flags=.p....F.C"
"221","0.049728292","e8:48:b8:da:df:46","Broadcast","802.11","452","-53dBm","5785MHz","6","Beacon frame, SN=1146, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"223","0.050549054","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3727, FN=0, Flags=.p..R.F.C"
"234","0.054082014","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3728, FN=0, Flags=.p....F.C"
"236","0.054633994","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3730, FN=0, Flags=.p....F.C"
"239","0.055029825","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3730, FN=0, Flags=.p..R.F.C"
"249","0.057388639","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3733, FN=0, Flags=.p....F.C"
"250","0.057389175","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3734, FN=0, Flags=.p....F.C"
"251","0.057687225","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3733, FN=0, Flags=.p..R.F.C"
"252","0.057687817","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3734, FN=0, Flags=.p..R.F.C"
"264","0.062318050","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3733, FN=0, Flags=.p..R.F.C"
"265","0.062318599","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3734, FN=0, Flags=.p..R.F.C"
"266","0.062589114","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3735, FN=0, Flags=.p....F.C"
"288","0.068806430","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-54dBm","5785MHz","43.3333","QoS Data, SN=3736, FN=0, Flags=.p....F.C"
"289","0.068806941","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3737, FN=0, Flags=.p....F.C"
"290","0.069191840","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","139","-54dBm","5785MHz","43.3333","QoS Data, SN=3736, FN=0, Flags=.p..R.F.C"
"291","0.069192277","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-54dBm","5785MHz","43.3333","QoS Data, SN=3737, FN=0, Flags=.p..R.F.C"
