"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Frequency","Data rate","Info"
"1","0.000000000","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","57.7778","QoS Data, SN=1076, FN=0, Flags=.p..R.F.C"
"16","0.003644108","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","57.7778","QoS Data, SN=1077, FN=0, Flags=.p....F.C"
"17","0.003950262","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-61dBm","5785MHz","57.7778","QoS Data, SN=1077, FN=0, Flags=.p..R.F.C"
"27","0.006497222","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1431","-60dBm","5785MHz","57.7778","QoS Data, SN=1078, FN=0, Flags=.p....F.C"
"45","0.012981980","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1079, FN=0, Flags=.p....F.C"
"47","0.013729193","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1079, FN=0, Flags=.p..R.F.C"
"50","0.015328193","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1081, FN=0, Flags=.p....F.C"
"56","0.016650374","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1081, FN=0, Flags=.p..R.F.C"
"61","0.018083322","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1081, FN=0, Flags=.p..R.F.C"
"66","0.019790330","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=1081, FN=0, Flags=.p..R.F.C"
"71","0.022162380","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1087, FN=0, Flags=.p....F.C"
"79","0.024131165","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1087, FN=0, Flags=.p..R.F.C"
"100","0.030261392","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1087, FN=0, Flags=.p..R.F.C"
"108","0.032042183","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","57.7778","QoS Data, SN=1095, FN=0, Flags=.p....F.C"
"120","0.035118875","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1096, FN=0, Flags=.p....F.C"
"135","0.039515593","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1096, FN=0, Flags=.p..R.F.C"
"137","0.040270289","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1096, FN=0, Flags=.p..R.F.C"
"139","0.041514394","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=1096, FN=0, Flags=.p..R.F.C"
"142","0.043863879","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","21.6667","QoS Data, SN=1096, FN=0, Flags=.p..R.F.C"
"144","0.044715976","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","57.7778","QoS Data, SN=1098, FN=0, Flags=.p....F.C"
"152","0.046449893","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","135","-60dBm","5785MHz","57.7778","QoS Data, SN=1098, FN=0, Flags=.p..R.F.C"
"160","0.048417146","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1106, FN=0, Flags=.p....F.C"
"169","0.056889476","e8:48:b8:da:df:46","Broadcast","802.11","452","-60dBm","5785MHz","6","Beacon frame, SN=3815, FN=0, Flags=........C, BI=100, SSID=Olufsen60"
"171","0.061167653","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1108, FN=0, Flags=.p....F.C"
"172","0.061670446","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1108, FN=0, Flags=.p..R.F.C"
"174","0.062825762","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-60dBm","5785MHz","57.7778","QoS Data, SN=1108, FN=0, Flags=.p..R.F.C"
"176","0.063942435","e8:48:b8:da:df:48","AMPAKTec_f7:74:97","802.11","1575","-58dBm","5785MHz","28.8889","QoS Data, SN=1108, FN=0, Flags=.p..R.F.C"
